Company Name,Website
365scores,https://www.365scores.com
Akamai,https://www.akamai.com
Align,https://www.aligntech.com
Amdocs,https://www.amdocs.com
Apple,https://www.apple.com
Applied Materials,https://www.appliedmaterials.com
Aqua Security,https://www.aquasec.com
Armis,https://www.armis.com
Arpeely,https://www.arpeely.com
Artlist,https://www.artlist.io
Autodesk,https://www.autodesk.com
AUTOTIX,https://www.autotix.ai
Axilion,https://www.axilion.com
Axonius,https://www.axonius.com
BigPanda,https://www.bigpanda.io
BreezoMeter,https://www.breezometer.com
Bright Data,https://www.brightdata.com
Bringg,https://www.bringg.com
Cal,https://www.cal-online.co.il
Chegg,https://www.chegg.com
Citi,https://www.citigroup.com
Claroty,https://www.claroty.com
CloudShare,https://www.cloudshare.com
Cognyte,https://www.cognyte.com
Contentsquare,https://www.contentsquare.com
Cross River,https://www.crossriver.com
Cyberint,https://www.cyberint.com
Cycode,https://www.cycode.com
Cymulate,https://www.cymulate.com
Deep Instinct,https://www.deepinstinct.com
Dell Technologies,https://www.dell.com
Deloitte,https://www.deloitte.com
Dome9,https://dome9.com
DoorLoop,https://www.doorloop.com
DraftKings,https://www.draftkings.com
Driivz,https://www.driivz.com
DriveNets,https://www.drivenets.com
Duda,https://www.duda.co
Elbit Systems,https://www.elbitsystems.com
Elementor,https://www.elementor.com
Equalum,https://www.equalum.io
EY,https://www.ey.com
Flywire,https://www.flywire.com
Fortinet,https://www.fortinet.com
General Motors,https://www.gm.com
Gett,https://gett.com
GrubHub,https://www.grubhub.com
HARMAN,https://www.harman.com
Healthee,https://www.healthee.com
Hello Heart,https://www.helloheart.com
HiredScore,https://www.hiredscore.com
HoneyBook,https://www.honeybook.com
HP Indigo,https://www.hp.com/indigo
ICE - Intercontinental Exchange,https://www.ice.com
Ilyon,https://www.ilyon.com
Intuit,https://www.intuit.com
Just Eat Takeaway.com,https://www.justeattakeaway.com
K Health,https://www.khealth.com
Kaltura,https://www.kaltura.com
Kenshoo,https://www.skai.io
Lusha,https://www.lusha.com
Mirato,https://www.mirato.com
Monday.com,https://www.monday.com
MSD Animal Health,https://www.msd-animal-health.com
MyHeritage,https://www.myheritage.com
Natural Intelligence,https://www.naturalint.com
Neema,https://www.neema.io
NetApp,https://www.netapp.com
Nexxen,https://www.nexxen.com
Noname Security,https://www.nonamesecurity.com
NVIDIA,https://www.nvidia.com
Okta,https://www.okta.com
Oracle,https://www.oracle.com
Overwolf,https://www.overwolf.com
Palo Alto Networks,https://www.paloaltonetworks.com
PAPAYA,https://www.papayaglobal.com
Payoneer,https://www.payoneer.com
Pepper,https://www.pepper.co.il
Philips,https://www.philips.com
Pixellot,https://www.pixellot.tv
PlainID,https://www.plainid.com
Planck,https://www.planckdata.com
Plarium,https://www.plarium.com
PlayStudios,https://www.playstudios.com
Playtika,https://www.playtika.com
Poalim IT Division,https://www.bankhapoalim.co.il
Preempt (A CrowdStrike Company),https://www.crowdstrike.com
proteanTecs,https://www.proteantecs.com
Qwilt,https://www.qwilt.com
RAD,https://www.rad.com
Redis,https://www.redis.com
Riskified,https://www.riskified.com
Rubrik,https://www.rubrik.com
SailPoint,https://www.sailpoint.com
Salesforce,https://www.salesforce.com
SciPlay,https://www.sciplay.com
Semperis,https://www.semperis.com
ServiceNow,https://www.servicenow.com
Singular,https://www.singular.net
Sisense,https://www.sisense.com
Starhome Mach,https://www.starhome-mach.com
Tabit,https://www.tabit.cloud
Tactile Mobility,https://www.tactilemobility.com
TandemG,https://www.tandemg.com
TD Bank,https://www.td.com
Tenable,https://www.tenable.com
Tonkean,https://www.tonkean.com
Trax Image Recognition,https://www.traxretail.com
Varonis,https://www.varonis.com
Vayyar,https://www.vayyar.com
vcita,https://www.vcita.com
Veeva Crossix,https://www.veeva.com
Verint,https://www.verint.com
Zebra Medical Vision,https://www.zebra-med.com
Ziprecruiter,https://www.ziprecruiter.com
